iter	Passed	Remaining
408	4964	7173
409	4976	7160
410	4988	7149
411	5003	7140
412	5009	7120
413	5017	7102
414	5028	7088
415	5040	7076
416	5046	7056
417	5060	7046
418	5071	7032
419	5083	7020
420	5093	7004
421	5107	6995
422	5118	6981
423	5130	6970
424	5141	6956
425	5153	6944
426	5161	6925
427	5176	6918
428	5193	6912
429	5198	6891
430	5203	6869
431	5225	6871
432	5231	6849
433	5244	6839
434	5259	6831
435	5277	6827
436	5296	6824
437	5313	6817
438	5328	6808
439	5342	6799
440	5353	6785
441	5367	6776
442	5378	6762
443	5393	6753
444	5406	6742
445	5419	6732
446	5430	6718
447	5442	6706
448	5454	6694
449	5466	6681
450	5471	6660
451	5476	6639
452	5481	6619
453	5486	6598
454	5491	6578
455	5497	6558
456	5502	6537
457	5507	6517
458	5513	6498
459	5561	6528
460	5577	6520
461	5589	6508
462	5598	6493
463	5611	6482
464	5617	6462
465	5625	6446
466	5639	6436
467	5651	6424
468	5664	6412
469	5676	6400
470	5694	6395
471	5715	6393
472	5732	6387
473	5742	6372
474	5760	6366
475	5775	6357
476	5791	6350
477	5805	6339
478	5819	6329
479	5830	6316
480	5843	6305
481	5856	6293
482	5869	6282
483	5877	6266
484	5891	6255
485	5903	6243
486	5914	6230
487	5925	6216
488	5939	6206
489	5952	6195
490	5962	6181
491	5973	6167
492	5989	6159
493	6001	6147
494	6011	6133
495	6027	6125
496	6033	6106
497	6045	6094
498	6062	6086
499	6072	6072
500	6082	6057
501	6094	6046
502	6108	6035
503	6117	6020
504	6127	6005
505	6146	6000
506	6158	5988
507	6171	5977
508	6185	5966
509	6199	5956
510	6212	5945
511	6224	5932
512	6237	5921
513	6249	5909
514	6257	5892
515	6267	5878
516	6277	5865
517	6288	5851
518	6301	5840
519	6312	5826
520	6321	5812
521	6332	5798
522	6345	5787
523	6355	5773
524	6369	5762
525	6384	5753
526	6396	5740
527	6409	5729
528	6418	5714
529	6430	5702
530	6443	5691
531	6454	5678
532	6467	5666
533	6476	5652
534	6487	5638
535	6500	5626
